,focalYear,focalSample,focalYSLabel,targetYear,targetSample,targetYSLabel,Cohort,CohortLabel,statType,subject,grade,jurisdiction,jurisLabel,scale,variable,variableLabel,valLabel,valValue,focalValue,isFocalStatDisplayable,focalErrorFlag,targetValue,isTargetStatDisplayable,targetErrorFlag,isSigDisplayable,gap,sig
0,1996,R2,1996&#185;,1996,R3,1996,1,Grade 4,MN:MN,MAT,4,NP,National public,MRPCM,TOTAL,All students,All students,1,222.34343568553,1,8,222.034757194769,1,0,1,0.308678490760997,EQUAL
1,1996,R3,1996,1996,R2,1996&#185;,1,Grade 4,MN:MN,MAT,4,NP,National public,MRPCM,TOTAL,All students,All students,1,222.034757194769,1,0,222.34343568553,1,8,1,-0.308678490760997,EQUAL
0,2000,R2,2000&#185;,2000,R3,2000,1,Grade 4,MN:MN,MAT,4,NP,National public,MRPCM,TOTAL,All students,All students,1,226.239272352377,1,8,224.206032410196,1,0,1,2.03323994218098,EQUAL
1,2000,R3,2000,2000,R2,2000&#185;,1,Grade 4,MN:MN,MAT,4,NP,National public,MRPCM,TOTAL,All students,All students,1,224.206032410196,1,0,226.239272352377,1,8,1,-2.03323994218098,EQUAL
0,1996,R2,1996&#185;,1996,R3,1996,2,Grade 8,MN:MN,MAT,8,NP,National public,MRPCM,TOTAL,All students,All students,1,270.51348809626,1,8,268.797473713753,1,0,1,1.71601438250701,EQUAL
1,1996,R3,1996,1996,R2,1996&#185;,2,Grade 8,MN:MN,MAT,8,NP,National public,MRPCM,TOTAL,All students,All students,1,268.797473713753,1,0,270.51348809626,1,8,1,-1.71601438250701,EQUAL
0,2000,R2,2000&#185;,2000,R3,2000,2,Grade 8,MN:MN,MAT,8,NP,National public,MRPCM,TOTAL,All students,All students,1,274.415761663145,1,8,271.829034996469,1,0,1,2.58672666667604,HIGHER
1,2000,R3,2000,2000,R2,2000&#185;,2,Grade 8,MN:MN,MAT,8,NP,National public,MRPCM,TOTAL,All students,All students,1,271.829034996469,1,0,274.415761663145,1,8,1,-2.58672666667604,LOWER
0,1996,R2,1996&#185;,1996,R3,1996,3,Grade 12,MN:MN,MAT,12,NP,National public,MRPCM,TOTAL,All students,All students,1,302.861418194892,1,8,300.583217692066,1,0,1,2.278200502826,EQUAL
1,1996,R3,1996,1996,R2,1996&#185;,3,Grade 12,MN:MN,MAT,12,NP,National public,MRPCM,TOTAL,All students,All students,1,300.583217692066,1,0,302.861418194892,1,8,1,-2.278200502826,EQUAL
0,2000,R2,2000&#185;,2000,R3,2000,3,Grade 12,MN:MN,MAT,12,NP,National public,MRPCM,TOTAL,All students,All students,1,299.761769083232,1,8,298.793175012275,1,0,1,0.96859407095701,EQUAL
1,2000,R3,2000,2000,R2,2000&#185;,3,Grade 12,MN:MN,MAT,12,NP,National public,MRPCM,TOTAL,All students,All students,1,298.793175012275,1,0,299.761769083232,1,8,1,-0.96859407095701,EQUAL
0,1998,R2,1998&#185;,1998,R3,1998,1,Grade 4,MN:MN,RED,4,NP,National public,RRPCM,TOTAL,All students,All students,1,215.442578125649,1,8,212.815205030177,1,0,1,2.627373095472,EQUAL
1,1998,R3,1998,1998,R2,1998&#185;,1,Grade 4,MN:MN,RED,4,NP,National public,RRPCM,TOTAL,All students,All students,1,212.815205030177,1,0,215.442578125649,1,8,1,-2.627373095472,EQUAL
0,1998,R2,1998&#185;,1998,R3,1998,2,Grade 8,MN:MN,RED,8,NP,National public,RRPCM,TOTAL,All students,All students,1,261.392901350534,1,8,260.661401275178,1,0,1,0.731500075355996,EQUAL
1,1998,R3,1998,1998,R2,1998&#185;,2,Grade 8,MN:MN,RED,8,NP,National public,RRPCM,TOTAL,All students,All students,1,260.661401275178,1,0,261.392901350534,1,8,1,-0.731500075355996,EQUAL
0,1998,R2,1998&#185;,1998,R3,1998,3,Grade 12,MN:MN,RED,12,NP,National public,RRPCM,TOTAL,All students,All students,1,289.26283120195,1,8,288.594742951535,1,0,1,0.668088250414996,EQUAL
1,1998,R3,1998,1998,R2,1998&#185;,3,Grade 12,MN:MN,RED,12,NP,National public,RRPCM,TOTAL,All students,All students,1,288.594742951535,1,0,289.26283120195,1,8,1,-0.668088250414996,EQUAL
