,focalYear,focalSample,focalYSLabel,targetYear,targetSample,targetYSLabel,Cohort,CohortLabel,statType,subject,grade,jurisdiction,jurisLabel,scale,variable,variableLabel,valLabel,valValue,focalValue,isFocalStatDisplayable,focalErrorFlag,targetValue,isTargetStatDisplayable,targetErrorFlag,isSigDisplayable,gap,sig
0,1996,R2,1996&#185;,1996,R3,1996,1,Grade 4,MN:MN,MAT,4,NP,National public,MRPCM,SLUNCH3,"National School Lunch Program eligibility, 3 categories",Eligible,1,206.657975246675,1,8,206.606586969706,1,0,1,0.0513882769689928,EQUAL
1,1996,R2,1996&#185;,1996,R3,1996,1,Grade 4,MN:MN,MAT,4,NP,National public,MRPCM,SLUNCH3,"National School Lunch Program eligibility, 3 categories",Not eligible,2,230.649541063986,1,8,231.946483482143,1,0,1,-1.29694241815702,EQUAL
2,1996,R2,1996&#185;,1996,R3,1996,1,Grade 4,MN:MN,MAT,4,NP,National public,MRPCM,SLUNCH3,"National School Lunch Program eligibility, 3 categories",Information not available,3,230.249785907134,1,8,228.280995729696,1,0,1,1.968790177438,EQUAL
3,1996,R3,1996,1996,R2,1996&#185;,1,Grade 4,MN:MN,MAT,4,NP,National public,MRPCM,SLUNCH3,"National School Lunch Program eligibility, 3 categories",Eligible,1,206.606586969706,1,0,206.657975246675,1,8,1,-0.0513882769689928,EQUAL
4,1996,R3,1996,1996,R2,1996&#185;,1,Grade 4,MN:MN,MAT,4,NP,National public,MRPCM,SLUNCH3,"National School Lunch Program eligibility, 3 categories",Not eligible,2,231.946483482143,1,0,230.649541063986,1,8,1,1.29694241815702,EQUAL
5,1996,R3,1996,1996,R2,1996&#185;,1,Grade 4,MN:MN,MAT,4,NP,National public,MRPCM,SLUNCH3,"National School Lunch Program eligibility, 3 categories",Information not available,3,228.280995729696,1,0,230.249785907134,1,8,1,-1.968790177438,EQUAL
0,2000,R2,2000&#185;,2000,R3,2000,1,Grade 4,MN:MN,MAT,4,NP,National public,MRPCM,SLUNCH3,"National School Lunch Program eligibility, 3 categories",Eligible,1,209.604771094305,1,8,208.244892161341,1,0,1,1.35987893296399,EQUAL
1,2000,R2,2000&#185;,2000,R3,2000,1,Grade 4,MN:MN,MAT,4,NP,National public,MRPCM,SLUNCH3,"National School Lunch Program eligibility, 3 categories",Not eligible,2,235.53852817656,1,8,234.561242134827,1,0,1,0.977286041732981,EQUAL
2,2000,R2,2000&#185;,2000,R3,2000,1,Grade 4,MN:MN,MAT,4,NP,National public,MRPCM,SLUNCH3,"National School Lunch Program eligibility, 3 categories",Information not available,3,234.613677312857,1,8,235.66897361938,1,0,1,-1.05529630652302,EQUAL
3,2000,R3,2000,2000,R2,2000&#185;,1,Grade 4,MN:MN,MAT,4,NP,National public,MRPCM,SLUNCH3,"National School Lunch Program eligibility, 3 categories",Eligible,1,208.244892161341,1,0,209.604771094305,1,8,1,-1.35987893296399,EQUAL
4,2000,R3,2000,2000,R2,2000&#185;,1,Grade 4,MN:MN,MAT,4,NP,National public,MRPCM,SLUNCH3,"National School Lunch Program eligibility, 3 categories",Not eligible,2,234.561242134827,1,0,235.53852817656,1,8,1,-0.977286041732981,EQUAL
5,2000,R3,2000,2000,R2,2000&#185;,1,Grade 4,MN:MN,MAT,4,NP,National public,MRPCM,SLUNCH3,"National School Lunch Program eligibility, 3 categories",Information not available,3,235.66897361938,1,0,234.613677312857,1,8,1,1.05529630652302,EQUAL
0,1996,R2,1996&#185;,1996,R3,1996,2,Grade 8,MN:MN,MAT,8,NP,National public,MRPCM,SLUNCH3,"National School Lunch Program eligibility, 3 categories",Eligible,1,251.633209055277,1,8,250.102181779234,1,0,1,1.53102727604301,EQUAL
1,1996,R2,1996&#185;,1996,R3,1996,2,Grade 8,MN:MN,MAT,8,NP,National public,MRPCM,SLUNCH3,"National School Lunch Program eligibility, 3 categories",Not eligible,2,278.832573971164,1,8,276.72899655737,1,0,1,2.10357741379397,EQUAL
2,1996,R2,1996&#185;,1996,R3,1996,2,Grade 8,MN:MN,MAT,8,NP,National public,MRPCM,SLUNCH3,"National School Lunch Program eligibility, 3 categories",Information not available,3,277.636256916608,1,8,275.761284169521,1,0,1,1.87497274708699,EQUAL
3,1996,R3,1996,1996,R2,1996&#185;,2,Grade 8,MN:MN,MAT,8,NP,National public,MRPCM,SLUNCH3,"National School Lunch Program eligibility, 3 categories",Eligible,1,250.102181779234,1,0,251.633209055277,1,8,1,-1.53102727604301,EQUAL
4,1996,R3,1996,1996,R2,1996&#185;,2,Grade 8,MN:MN,MAT,8,NP,National public,MRPCM,SLUNCH3,"National School Lunch Program eligibility, 3 categories",Not eligible,2,276.72899655737,1,0,278.832573971164,1,8,1,-2.10357741379397,EQUAL
5,1996,R3,1996,1996,R2,1996&#185;,2,Grade 8,MN:MN,MAT,8,NP,National public,MRPCM,SLUNCH3,"National School Lunch Program eligibility, 3 categories",Information not available,3,275.761284169521,1,0,277.636256916608,1,8,1,-1.87497274708699,EQUAL
0,2000,R2,2000&#185;,2000,R3,2000,2,Grade 8,MN:MN,MAT,8,NP,National public,MRPCM,SLUNCH3,"National School Lunch Program eligibility, 3 categories",Eligible,1,255.136084892513,1,8,252.861271651751,1,0,1,2.274813240762,EQUAL
1,2000,R2,2000&#185;,2000,R3,2000,2,Grade 8,MN:MN,MAT,8,NP,National public,MRPCM,SLUNCH3,"National School Lunch Program eligibility, 3 categories",Not eligible,2,284.60997132966,1,8,282.993046174128,1,0,1,1.61692515553204,EQUAL
2,2000,R2,2000&#185;,2000,R3,2000,2,Grade 8,MN:MN,MAT,8,NP,National public,MRPCM,SLUNCH3,"National School Lunch Program eligibility, 3 categories",Information not available,3,273.420306582147,1,8,271.088867781209,1,0,1,2.33143880093803,EQUAL
3,2000,R3,2000,2000,R2,2000&#185;,2,Grade 8,MN:MN,MAT,8,NP,National public,MRPCM,SLUNCH3,"National School Lunch Program eligibility, 3 categories",Eligible,1,252.861271651751,1,0,255.136084892513,1,8,1,-2.274813240762,EQUAL
