,year,sample,yearSampleLabel,Cohort,CohortLabel,focalStatType,targetStatType,statType,subject,grade,jurisdiction,jurisLabel,scale,variable,variableLabel,focalValLabel,focalValValue,targetValLabel,targetValValue,focalValue,isFocalStatDisplayable,focalErrorFlag,targetValue,isTargetStatDisplayable,targetErrorFlag,isSigDisplayable,gap,sig
0,2024,R3,2024,1,Grade 4,MN:MN,,MN:MN,MAT,4,NP,National public,MRPCM,SESCAT,"NAEP SES index (3 components), categorized",Low SES,1,Middle SES,2,221.396954269604,1,0,234.985289573509,1,0,1,-13.588335303905,LOWER
1,2024,R3,2024,1,Grade 4,MN:MN,,MN:MN,MAT,4,NP,National public,MRPCM,SESCAT,"NAEP SES index (3 components), categorized",Low SES,1,High SES,3,221.396954269604,1,0,257.606803941332,1,0,1,-36.209849671728,LOWER
2,2024,R3,2024,1,Grade 4,MN:MN,,MN:MN,MAT,4,NP,National public,MRPCM,SESCAT,"NAEP SES index (3 components), categorized",Middle SES,2,Low SES,1,234.985289573509,1,0,221.396954269604,1,0,1,13.588335303905,HIGHER
3,2024,R3,2024,1,Grade 4,MN:MN,,MN:MN,MAT,4,NP,National public,MRPCM,SESCAT,"NAEP SES index (3 components), categorized",Middle SES,2,High SES,3,234.985289573509,1,0,257.606803941332,1,0,1,-22.621514367823,LOWER
4,2024,R3,2024,1,Grade 4,MN:MN,,MN:MN,MAT,4,NP,National public,MRPCM,SESCAT,"NAEP SES index (3 components), categorized",High SES,3,Low SES,1,257.606803941332,1,0,221.396954269604,1,0,1,36.209849671728,HIGHER
5,2024,R3,2024,1,Grade 4,MN:MN,,MN:MN,MAT,4,NP,National public,MRPCM,SESCAT,"NAEP SES index (3 components), categorized",High SES,3,Middle SES,2,257.606803941332,1,0,234.985289573509,1,0,1,22.621514367823,HIGHER
0,2024,R3,2024,2,Grade 8,MN:MN,,MN:MN,MAT,8,NP,National public,MRPCM,SESCAT,"NAEP SES index (3 components), categorized",Low SES,1,Middle SES,2,250.47619956267,1,0,269.94687739835,1,0,1,-19.47067783568,LOWER
1,2024,R3,2024,2,Grade 8,MN:MN,,MN:MN,MAT,8,NP,National public,MRPCM,SESCAT,"NAEP SES index (3 components), categorized",Low SES,1,High SES,3,250.47619956267,1,0,299.871558111705,1,0,1,-49.395358549035,LOWER
2,2024,R3,2024,2,Grade 8,MN:MN,,MN:MN,MAT,8,NP,National public,MRPCM,SESCAT,"NAEP SES index (3 components), categorized",Middle SES,2,Low SES,1,269.94687739835,1,0,250.47619956267,1,0,1,19.47067783568,HIGHER
3,2024,R3,2024,2,Grade 8,MN:MN,,MN:MN,MAT,8,NP,National public,MRPCM,SESCAT,"NAEP SES index (3 components), categorized",Middle SES,2,High SES,3,269.94687739835,1,0,299.871558111705,1,0,1,-29.924680713355,LOWER
4,2024,R3,2024,2,Grade 8,MN:MN,,MN:MN,MAT,8,NP,National public,MRPCM,SESCAT,"NAEP SES index (3 components), categorized",High SES,3,Low SES,1,299.871558111705,1,0,250.47619956267,1,0,1,49.395358549035,HIGHER
5,2024,R3,2024,2,Grade 8,MN:MN,,MN:MN,MAT,8,NP,National public,MRPCM,SESCAT,"NAEP SES index (3 components), categorized",High SES,3,Middle SES,2,299.871558111705,1,0,269.94687739835,1,0,1,29.924680713355,HIGHER
0,2024,R3,2024,3,Grade 12,MN:MN,,MN:MN,MAT,12,NP,National public,MWPCM,SESCAT,"NAEP SES index (3 components), categorized",Low SES,1,Middle SES,2,125.607148958202,1,0,140.698158224259,1,0,1,-15.091009266057,LOWER
1,2024,R3,2024,3,Grade 12,MN:MN,,MN:MN,MAT,12,NP,National public,MWPCM,SESCAT,"NAEP SES index (3 components), categorized",Low SES,1,High SES,3,125.607148958202,1,0,166.018290607612,1,0,1,-40.41114164941,LOWER
2,2024,R3,2024,3,Grade 12,MN:MN,,MN:MN,MAT,12,NP,National public,MWPCM,SESCAT,"NAEP SES index (3 components), categorized",Middle SES,2,Low SES,1,140.698158224259,1,0,125.607148958202,1,0,1,15.091009266057,HIGHER
3,2024,R3,2024,3,Grade 12,MN:MN,,MN:MN,MAT,12,NP,National public,MWPCM,SESCAT,"NAEP SES index (3 components), categorized",Middle SES,2,High SES,3,140.698158224259,1,0,166.018290607612,1,0,1,-25.320132383353,LOWER
4,2024,R3,2024,3,Grade 12,MN:MN,,MN:MN,MAT,12,NP,National public,MWPCM,SESCAT,"NAEP SES index (3 components), categorized",High SES,3,Low SES,1,166.018290607612,1,0,125.607148958202,1,0,1,40.41114164941,HIGHER
5,2024,R3,2024,3,Grade 12,MN:MN,,MN:MN,MAT,12,NP,National public,MWPCM,SESCAT,"NAEP SES index (3 components), categorized",High SES,3,Middle SES,2,166.018290607612,1,0,140.698158224259,1,0,1,25.320132383353,HIGHER
0,2024,R3,2024,1,Grade 4,MN:MN,,MN:MN,RED,4,NP,National public,RRPCM,SESCAT,"NAEP SES index (3 components), categorized",Low SES,1,Middle SES,2,197.364085782967,1,0,211.546792256474,1,0,1,-14.182706473507,LOWER
1,2024,R3,2024,1,Grade 4,MN:MN,,MN:MN,RED,4,NP,National public,RRPCM,SESCAT,"NAEP SES index (3 components), categorized",Low SES,1,High SES,3,197.364085782967,1,0,236.216391435936,1,0,1,-38.852305652969,LOWER
2,2024,R3,2024,1,Grade 4,MN:MN,,MN:MN,RED,4,NP,National public,RRPCM,SESCAT,"NAEP SES index (3 components), categorized",Middle SES,2,Low SES,1,211.546792256474,1,0,197.364085782967,1,0,1,14.182706473507,HIGHER
3,2024,R3,2024,1,Grade 4,MN:MN,,MN:MN,RED,4,NP,National public,RRPCM,SESCAT,"NAEP SES index (3 components), categorized",Middle SES,2,High SES,3,211.546792256474,1,0,236.216391435936,1,0,1,-24.669599179462,LOWER
